id,camp,grade,gpa,gre
89,1,87.9,3.53,159
90,0,68.7,3.25,150
91,0,73.8,3.09,155
92,0,81.2,3.58,157
93,1,81.9,3.05,150
94,0,50.7,3.58,155
95,1,77.9,3.68,154
96,1,68.8,3.47,142
97,1,71.7,3.4,139
98,1,87.2,3.18,156
99,0,64.6,2.95,145
100,0,81.1,3.92,145
101,0,66.9,3.51,157
102,0,67.2,3.92,145
103,0,72.7,2.88,153
104,0,67.2,3.58,154
105,0,74.3,3.84,159
106,0,61.5,3.49,143
107,1,79.7,3.4,139
108,0,56.7,3.11,157
109,0,62.8,3.88,149
110,0,73.6,3.54,166
111,1,76,3.18,151
112,0,69,2.74,152
113,1,72.7,3.18,144
114,0,90.7,3.61,169
115,0,64.2,3.63,164
116,0,70.2,2.91,155
117,0,78.8,3.83,161
118,0,37.7,2.67,143
119,1,66.2,3.32,147
120,1,69.6,3.34,147
121,1,59.1,2.53,139
122,1,82.9,3.96,150
123,0,68.4,3.19,150
124,1,68.9,3.33,159
125,0,66.4,3.82,156
126,1,73.9,3.45,147
127,0,65.3,3.76,157
128,0,63.6,3.7,157
129,0,68.7,3.64,154
130,0,64.5,3.75,159
131,0,58.2,3.67,141
132,1,49.9,3.31,145
133,0,70.9,3.55,146
134,0,61.9,3.06,156
135,0,73.1,3.56,164
136,1,84.3,3.38,157
137,0,49,2.97,152
138,0,57.4,3.07,146
139,1,66.6,3.3,152
140,1,62.1,3.08,148
141,1,85.5,3.37,144
142,0,71,3.29,150
143,0,62.5,3.41,148
144,0,56.3,3.7,157
145,0,71.4,3.81,149
146,0,59.6,3.47,149
147,0,67.2,3.34,161
148,0,48.4,3.52,141
149,1,74,3.33,140
150,1,62.8,2.59,147
151,0,69.3,3.08,155
152,1,65,2.94,135
153,0,71.9,3.62,155
154,0,64.9,3.48,154
155,1,64.1,2.13,147
156,1,70,3.45,153
157,0,80.9,3.99,153
158,1,78,3.71,143
159,0,74.1,3.96,151
160,1,63.3,3.25,145
161,0,71.9,3.85,151
162,1,67.9,3.4,146
163,0,62.3,3.23,151
164,0,50.7,2.07,137
165,1,74.6,3.11,146
166,0,71.9,3.74,163
167,0,69.8,3.75,158
168,0,62.8,3.81,150
169,0,36.3,3.02,135
170,1,78.2,3.58,144
171,0,64.1,2.46,149
172,0,72.6,3.74,151
173,0,79.6,3.85,159
174,1,75.8,3.59,162
175,1,98.9,3.85,159
176,1,70,3.66,151
177,1,86,3.88,152
178,0,66.2,3.52,156
179,1,75.1,2.94,152
180,0,79.3,3.71,164
181,1,53.8,3.3,157
182,1,43.6,2.7,137
183,0,54.2,3.29,142
184,1,84.7,3.71,144
185,1,88.7,3.42,156
186,0,67.7,3.2,140
187,1,77.3,3.35,150
188,1,89.4,3.81,152
189,0,91.3,3.95,163
190,0,71.6,3.83,165
191,1,85.7,3.64,153
192,0,64.6,3.17,145
193,0,60,3.84,149
194,0,61.5,3.16,151
195,0,72.2,3.59,155
196,0,69.9,3.34,140
197,1,87.6,3.36,153
198,0,57,3.03,158
199,1,74.9,3.56,149
200,1,87.4,3.66,157
201,1,58.5,2.96,144
202,1,61.2,1.88,145
203,1,74.8,3.37,155
204,0,69,3.51,154
205,0,64.7,3.8,168
206,0,74.7,3.53,143
207,0,73.9,3.71,156
208,1,75.9,2.95,154
209,0,48.6,3.86,151
210,1,73.1,3.86,150
211,0,85.1,3.63,164
212,0,67.6,3.7,164
213,0,72.9,3.63,159
214,1,74,3.63,147
215,1,62.7,3.72,150
216,1,73.9,3.73,142
217,0,68.5,3.83,157
218,1,70.6,2.93,138
219,1,57.8,3.31,137
220,1,62.5,2.89,152
221,1,67.5,3.63,140
222,0,63.9,3.7,149
223,0,75.1,3.99,160
224,0,72.1,3.33,151
225,0,83.1,3.58,157
226,0,64.6,2.62,140
227,0,72.3,3.67,148
228,1,76.5,3.17,144
229,0,52.3,3.38,142
230,0,58.5,2.91,148
231,0,61.6,3.69,154
232,0,67.9,3.83,158
233,0,63.3,3.35,146
234,0,60.2,3.84,146
235,0,75,3.97,159
236,0,61.3,3.17,156
237,1,76,3.9,147
238,0,72.3,3.99,170
239,0,64.4,3.5,159
240,0,75.4,3.66,162
241,0,57.8,2.99,155
242,1,80.1,3.74,155
243,0,61.3,3.15,147
244,0,80.9,3.91,148
245,1,77.4,3.09,152
246,1,85.2,3.66,145
247,0,70.4,3.08,151
248,1,72,3.38,154
249,1,64.2,2.72,149
250,0,52.1,3.56,150
251,0,70.7,3.99,156
252,1,72.5,3.59,147
253,0,53.2,2.62,140
254,1,69.5,3.19,152
255,1,57.1,2.91,146
256,1,75.1,3.32,151
257,0,75.9,3.68,165
258,1,80.8,3.66,155
259,1,78.6,3.21,152
260,1,76,3.02,146
261,0,64,3.41,158
262,1,90.2,3.51,154
263,1,81.7,3.18,157
264,1,80.7,3.25,155
265,0,71.6,3.28,155
266,0,73.4,3.88,156
267,0,69.3,3.72,158
268,1,74.6,3.29,148
269,1,73.7,3.48,161
270,1,72.4,3.25,144
271,0,54.9,3.43,157
272,0,70.4,3.22,157
273,1,73.5,3.18,154
274,0,57.4,3.57,150
275,1,66.9,3.51,155
276,0,67.9,3.25,151
277,0,65.3,2.71,147
278,1,74.4,3.52,143
279,0,67.9,3.14,156
280,1,67.8,3.02,143
281,1,60.8,3.18,141
282,1,89.9,3.65,155
283,1,92.9,3.95,167
284,1,76.9,3.24,152
285,0,69.4,3.78,154
286,1,76.7,3.46,147
287,1,48.8,2.93,149
288,0,76.8,3.36,160
289,1,79.1,3.39,149
290,0,56.7,3.09,155
291,1,63.1,3.47,149
292,0,68.6,3.67,156
293,1,97.5,3.98,164
294,0,73.2,3.55,163
295,0,80.3,3.12,162
296,0,45.1,2.33,148
297,1,75.7,3.26,146
298,0,59.2,3.24,154
299,1,63.8,2.34,144
300,1,78.5,3.78,145
301,1,70.4,3.11,137
302,0,50.3,3.39,141
303,1,71.2,2.71,146
304,0,82.7,3.77,161
305,0,66.5,3.06,157
306,1,72.6,3.44,141
307,1,77.3,3.97,156
308,0,79.2,3.5,159
309,0,82.5,3.42,158
310,1,68.4,3.25,153
311,1,60.9,2.86,146
312,1,79.7,3.65,156
313,0,53,3.48,149
314,0,72.5,3.2,152
315,1,76.6,2.75,147
316,0,80.5,3.62,164
317,0,56.5,3.48,161
318,0,57.7,3.08,158
319,1,77.7,3.57,159
320,0,60.6,3.36,149
321,0,77.7,3.16,155
322,0,60.6,3.75,157
323,1,86.2,3.33,146
324,0,65.3,2.58,154
325,0,54.1,2.17,148
326,1,54.5,3.21,144
327,0,80.5,3.92,150
328,0,60.5,3.99,149
329,1,62.7,3.66,140
330,0,71.2,2.75,146
331,1,90.9,3.6,155
332,1,57.4,1.8,150
333,0,65.5,3.11,156
334,0,65.5,3.76,166
335,1,85.7,3.89,151
336,1,80.1,3.73,146
337,1,85.4,3.77,155
338,0,72.1,3.51,154
339,0,59.9,3.04,145
340,0,68.6,2.89,154
341,0,66,3.52,153
342,0,50.1,3.29,144
343,0,52.5,3.05,155
344,0,69.2,3.71,149
345,0,65,3.58,144
346,0,68.3,2.94,150
347,1,67.2,3.24,150
348,1,71.2,3.46,142
349,1,54.9,2.8,147
350,1,83.4,3.36,138
351,1,69.4,3.15,150
352,0,52,2.43,143
353,0,70.3,3.36,148
354,1,66.2,3.23,141
355,0,58.1,3.2,150
356,1,66.7,3.78,144
357,0,75.2,3.57,165
358,1,78.8,2.88,155
359,0,73.3,3.69,164
360,0,67.9,3.45,156
361,0,73.2,3.58,158
362,1,62.2,3.83,138
363,0,56.3,3.56,146
364,1,61.2,3.56,157
365,1,66.6,2.87,137
366,1,92.3,3.87,169
367,1,75.5,2.89,156
368,1,39.9,2.54,143
369,1,68.1,3.1,154
370,0,55,3.13,148
371,0,64.7,3.2,156
372,1,84.8,3.86,146
373,1,59.4,2.86,150
374,0,64.5,3.51,154
375,1,71.6,3.74,152
376,0,84.1,3.43,162
377,0,55.6,3.59,144
378,1,76.9,3.03,149
379,0,58.6,2.86,138
380,0,72.1,3.63,151
381,1,56,3.3,140
382,0,68.8,3.66,145
383,1,63.8,3.68,153
384,1,78.2,3.3,156
385,0,57.1,3.88,156
386,0,64.7,3.17,152
387,0,48.1,2.76,155
388,1,52.8,2.9,136
389,0,67.3,3.43,149
390,1,76.2,3.55,151
391,0,68.5,3.1,159
392,0,70.3,3.62,155
393,1,84.2,3.85,149
394,1,70.7,2.85,133
395,1,67.1,2.97,145
396,0,63.1,2.53,152
397,0,43,2.87,160
398,1,65,3.06,157
399,1,74.1,3.35,145
400,1,88,3.94,156
401,0,74.4,3.64,159
402,1,60.3,3.22,146
403,0,75.2,3.48,146
404,0,75,3.77,150
405,1,69.8,3.25,143
406,1,46,2.92,136
407,0,46.8,3.13,144
408,1,54.8,2.66,153
409,0,62.3,3.71,156
410,0,48.1,3.62,155
411,0,44,2.14,141
412,1,67.5,3.08,147
413,0,68.4,3.84,152
414,0,59.4,3.92,156
415,0,75.6,2.79,160
416,1,72.3,2.62,145
417,1,79,2.94,147
418,0,71.9,3.48,154
419,0,51.9,3.75,158
420,0,79.9,3.87,165
421,0,75.3,3.99,157
422,0,64.4,2.89,143
423,0,60.7,3.85,156
424,1,63.8,3.45,150
425,1,74.6,3.38,146
426,1,61.1,2.74,138
427,1,78.5,3.75,159
428,0,57.4,3.68,156
429,1,59.4,3.49,152
430,1,77.7,2.97,143
431,0,72,3.08,148
432,1,67.8,3.49,144
433,0,71.5,3.32,148
434,0,62.1,3.06,152
435,0,41.9,2.15,143
436,1,76.2,3.75,156
437,0,72.9,3.71,157
438,0,78.5,3.43,163
439,0,55.6,3.5,151
440,0,43.2,3.16,138
441,0,76.9,3.08,158
442,0,75.6,3.33,165
443,0,67.9,3.61,158
444,1,66.7,3.49,142
445,1,85.8,3.6,154
446,0,68.5,3.6,154
447,0,80.9,3.86,156
448,0,53.5,3.36,149
449,1,88,3.72,152
450,1,75.6,2.9,157
451,1,66.5,3.36,146
452,0,61.4,3.76,166
453,1,84.4,3.29,154
454,0,68,3.67,156
455,1,67.4,3.72,155
456,0,66.3,3.17,158
457,0,72,3.49,153
458,0,72,3.22,152
459,1,52.5,2.94,141
460,1,73.2,2.58,144
461,0,68.1,3.6,155
462,1,66.5,3.8,156
463,0,69.3,3.82,156
464,1,66.6,2.81,145
465,1,68.1,2.94,139
466,0,54.6,2.93,142
467,1,75.6,3.16,144
468,1,74,3.59,156
469,1,75.8,3.8,147
470,0,44.3,3.09,147
471,0,57.5,2.07,152
472,0,65.8,3.98,150
473,0,83.1,3.81,161
474,0,67.6,3.15,149
475,0,65,2.96,143
476,1,78.1,3.35,148
477,0,72.8,3.55,152
478,0,62.1,3.86,150
479,0,55,3.08,154
480,0,73.4,3.65,152
481,1,77.2,3.05,155
482,0,60.7,3.39,162
483,1,57.9,2.61,148
484,0,73.2,3.64,142
485,1,70.2,3.18,141
486,0,52.7,3.04,146
487,1,61.1,3.11,153
488,1,83,3.72,151
489,0,55.7,2.42,141
490,0,51,3.29,156
491,0,67.8,2.99,149
492,0,63.6,3.02,148
493,0,49.5,3.74,148
494,1,76.8,3.68,164
495,0,64.1,3.45,152
496,0,67.7,3.77,157
497,1,55.1,3.2,152
498,1,57.4,2.49,147
499,0,68.7,3.38,151
500,0,60.9,3.32,146
501,0,78.4,3.58,156
502,1,84.2,3.88,149
503,0,75.4,3.71,166
504,0,61.4,3.96,155
505,0,71.6,3.52,158
506,1,74.4,3.25,159
507,0,56,3.35,147
508,0,65.8,3.91,155
509,0,64.7,3.08,149
510,1,57.4,3.02,140
511,0,80.4,3.66,155
512,0,81.1,3.81,153
513,1,60,2.65,145
514,0,80.1,3.89,155
515,1,65.6,3.51,147
516,0,64.3,3.41,144
517,1,68.7,2.93,143
518,0,66.8,3.18,159
519,0,79.9,3.57,158
520,1,91.7,3.74,158
521,1,91.1,3.57,153
522,0,70.4,2.77,153
523,0,63.2,3.25,145
524,0,56,3.59,139
525,1,72.9,3.08,154
526,1,54.5,3.17,142
527,0,68.9,3.67,158
528,1,74.9,3.05,150
529,1,73.5,3.5,148
530,0,65,3.8,142
531,1,80.5,3.06,155
532,1,74.3,3.31,144
533,0,51.5,4,146
534,1,73.9,3.27,150
535,0,53.5,2.67,137
536,0,82,3.71,156
537,0,45.5,2.79,143
538,1,65.9,2.77,154
539,0,45.6,3.54,139
540,1,65.2,3.53,161
541,1,85.5,3.48,146
542,0,61.9,3.65,155
543,0,61.8,3.16,142
544,0,71.5,3.56,149
545,0,60,3.24,150
546,0,56.8,3.47,151
547,1,66.2,2.93,144
548,0,56.8,3.44,148
549,0,61.5,3.55,154
550,1,73.7,3.15,139
551,1,61.6,3.52,142
552,1,85.3,3.18,154
553,0,70.3,3.18,148
554,1,83.1,3.4,155
555,1,80,3.75,162
556,1,57.2,3.4,142
557,0,63.1,3.6,151
558,0,64.5,3.99,145
559,1,64.2,3.36,143
560,0,60.8,3.45,148
561,0,73.1,3.76,161
562,1,74.4,2.87,149
563,1,80.2,3.77,148
564,1,73.7,3.23,142
565,0,65,2.93,155
566,0,51.9,2.62,146
567,1,81,3.14,151
568,0,54.5,2.91,149
569,1,71.5,2.91,140
570,0,74,2.89,155
571,0,72.5,4,158
572,0,70.1,3.77,164
573,1,83.4,3.06,159
574,0,70.7,3.19,154
575,1,83,3.29,145
576,1,63.6,3.6,153
577,1,67.6,3.33,149
578,1,73.9,3.91,163
579,0,49.9,3.35,147
580,1,73.5,2.42,151
581,0,47.4,3.45,148
582,1,53.6,2.57,142
583,0,72.5,3.97,160
584,1,74.4,3.13,154
585,1,68.6,2.94,150
586,1,81.7,3.2,158
587,0,66.1,3.79,158
588,0,56.3,2.54,147
589,1,82.9,3.63,149
590,0,73.4,3.01,147
591,0,75.5,3.5,161
592,0,77.7,3.84,152
593,0,63.4,3.78,156
594,1,80.5,3.56,152
595,1,61.8,3.15,145
596,0,72.8,3.35,144
597,1,91.3,3.9,156
598,0,78.8,3.97,162
599,1,82.9,3.73,148
600,1,73,3.4,143
601,1,69.7,2.88,141
602,1,58.9,3.32,143
603,1,67.5,3.23,143
604,0,61.9,3.66,144
605,1,46.4,3.03,139
606,0,67,3.84,149
607,1,67.8,2.92,143
608,0,56.6,3.28,142
609,0,63.3,3.57,160
610,0,63.8,3.31,150
611,1,64.9,2.9,141
612,1,61,2.17,139
613,0,77.8,3.49,150
614,0,70.8,3.48,153
615,1,48.9,2.5,151
616,1,76.9,3.17,149
617,0,72.7,3.94,149
618,0,68.3,3.67,160
619,0,58.8,3.56,146
620,0,64.1,3.19,141
621,0,83.8,3.6,159
622,0,67.7,3.38,145
623,1,81.6,3.56,161
624,1,72.9,3.21,145
625,1,84.7,3.32,156
626,0,73.2,3.35,157
627,1,75.4,3.32,152
628,0,61.5,3.35,158
629,1,86.1,3.55,149
630,1,82.2,3.69,150
631,0,71.3,3.84,153
632,0,65.9,3.37,160
633,0,64.1,3.04,158
634,1,69.7,2.79,159
635,0,68.2,3.52,166
636,1,84.6,3.53,150
637,0,71.9,3.55,155
638,0,54.5,3.93,165
639,0,66.9,3.45,159
640,0,72.2,3.55,154
641,0,76.1,3.55,150
642,0,74.5,3.12,158
643,0,69.1,3.7,154
644,1,70,2.95,152
645,0,65.4,2.77,149
646,0,57.5,3.44,150
647,1,64.4,2.95,144
648,1,90.7,3.79,161
649,1,77.5,3.43,143
650,1,75.3,3.12,140
651,0,44.2,3.45,155
652,1,73.4,3.44,156
653,1,84.4,3.34,146
654,0,79.9,3.69,160
655,0,56.2,2.98,151
656,0,51.7,3.41,150
657,0,67.1,3.67,159
658,0,53.3,3.41,154
659,1,65.2,2.85,142
660,0,68.3,3.36,144
661,0,65.9,3.41,151
662,1,71.9,3.46,151
663,0,51.2,3.27,153
664,1,54.6,2.71,139
665,1,67.4,3.75,144
666,1,86.9,3.44,156
667,1,67.3,3.4,159
668,0,56.6,3.82,160
669,1,58.4,2.05,142
670,0,71.3,3.22,154
671,0,64.9,3.42,156
672,1,80.9,3.8,150
673,1,88,3.37,151
674,1,81.8,3,146
675,1,73.2,3.69,150
676,1,78.9,3.51,159
677,1,90.2,3.56,153
678,1,65.8,3.23,149
679,1,72.2,2.88,138
680,1,57,2.86,146
681,1,68.2,2.99,149
682,0,45.6,2.81,149
683,1,74.3,3.48,145
684,0,77.6,3.45,150
685,0,59.9,3.89,148
686,1,71.8,2.95,141
687,0,72.5,3.39,159
688,1,72.2,3.78,156
689,0,68.9,3.32,159
690,0,77.9,3.89,152
691,0,65.4,3.85,153
692,0,45.4,3.18,155
693,1,62,3.11,157
694,0,75.7,3.4,151
695,0,61.7,3.5,151
696,0,61.4,3.47,150
697,1,76.6,3.22,143
698,1,63.6,3.04,150
699,0,61.4,2.93,147
700,0,84.4,3.96,162
701,0,44.3,3.01,149
702,1,79.2,3.83,146
703,1,90.9,3.43,146
704,0,49.4,3.23,152
705,0,43.9,2.96,146
706,0,69.2,3.49,152
707,0,56.8,3.38,154
708,0,65.8,3.58,154
709,1,63.8,3.2,149
710,0,63.2,3.81,158
711,0,64.8,3.86,158
712,0,74.9,3.6,153
713,0,71.3,3.21,152
714,0,76.1,3.46,156
715,1,65.6,2.69,141
716,1,88.5,3.56,150
717,1,80,3.29,157
718,0,77.1,3.7,153
719,0,64.9,3.37,144
720,0,62.6,2.81,140
721,1,77.9,3.52,149
722,1,69.8,2.82,150
723,1,91.4,3.95,157
724,1,56.4,2.59,145
725,0,78.6,3.43,159
726,0,66.2,3.73,141
727,1,71.9,2.74,145
728,0,55.9,3.06,149
729,1,72.9,3.25,144
730,1,74.9,3.58,151
731,1,85,3.33,160
732,0,53.7,2.98,145
733,0,67.6,3.7,149
734,1,80.2,3.24,146
735,0,76.1,3.75,148
736,0,55.2,3.25,158
737,1,64.8,3.02,147
738,0,72.5,3.45,149
739,0,76.8,3.82,152
740,1,83.2,3.62,151
741,0,62.2,3.47,147
742,0,48.1,2.53,142
743,0,72.7,3.48,153
744,0,71.9,3.07,153
745,0,66.7,3.4,152
746,0,64.2,3.63,140
747,1,75.7,2.74,150
748,1,86.3,3.86,157
749,0,80.8,3.62,163
750,0,61,3.99,145
751,0,54.2,3.23,152
752,1,75.1,3.25,149
753,1,85,3,156
754,1,76.7,3.32,153
755,1,76.2,3.97,149
756,1,75.4,3.96,153
757,1,78.9,2.59,148
758,0,63.1,3.91,149
759,0,57.4,3.81,165
760,1,61.9,3.07,150
761,1,83.3,3.86,158
762,0,69.8,3.83,149
763,0,42.8,3.31,151
764,0,75.9,3.92,166
765,0,51.4,3.56,161
766,1,74,3.47,142
767,1,81.2,3.88,152
768,1,59.2,2.06,148
769,1,73.2,3.29,146
770,0,31.5,2.76,139
771,0,84.3,3.79,159
772,0,73.8,3.28,153
773,0,84.6,3.95,157
774,0,60,3.73,152
775,0,59.2,3.51,153
776,1,74.6,3.46,159
777,0,69.8,3.32,153
778,0,72.4,3.6,155
779,1,73,2.95,136
780,1,86.8,3.84,152
781,1,71.6,3.3,149
782,1,79.6,3.13,151
783,1,61,3.34,146
784,1,67.8,2.62,142
785,0,59.2,3.33,142
786,0,55.2,3.55,156
787,1,72.7,3.23,153
788,0,58.9,3.29,158
789,1,77.2,3.69,158
790,1,70.9,3.61,144
791,1,50.7,3.16,149
792,1,69.1,3.78,148
793,1,64.9,3.59,147
794,0,65.1,3.84,150
795,1,82.7,2.84,150
796,1,86.4,3.12,147
797,0,65.5,3.4,142
798,1,63,3.98,152
799,1,58.2,3.24,147
800,1,57,2.98,140
801,1,79.8,3.89,146
802,0,74.6,3.73,163
803,0,51.8,2.89,147
804,1,78.6,2.81,151
805,1,62.2,2.64,138
806,1,67.7,3.55,152
807,1,74,2.93,149
808,0,70.2,3.31,161
809,0,55.6,3.33,157
810,1,76.6,3.66,146
811,1,70.4,2.94,145
812,1,56.3,2.12,142
813,0,82,3.45,159
814,1,65.5,3.13,143
815,0,63.6,3.61,155
816,1,73.8,3.08,151
817,1,72.5,3.9,152
818,0,65.5,3.51,157
819,1,61,3.8,142
820,1,54.2,3,147
821,0,42,3.39,151
822,0,54.7,3.67,149
823,1,69.1,3.46,149
824,1,66,2.52,146
825,0,68.8,3.88,166
826,0,79.9,3.51,151
827,1,88.9,3.97,157
828,1,80.5,3.45,144
829,1,49,2.13,150
830,1,92.3,3.71,149
831,0,60.4,3.39,159
832,1,63.4,3.01,143
833,1,86.5,3.17,155
834,1,81.8,3.53,143
835,1,92.2,3.59,160
836,0,55.7,3.01,150
837,0,65.2,3.28,157
838,0,64.2,3.09,154
839,0,63.2,2.88,163
840,0,59.1,3.16,162
841,0,81.2,3.95,141
842,1,89.4,3.87,160
843,0,64.6,3.57,149
844,0,61,3.64,147
845,1,83.8,3.79,145
846,0,65.9,3.61,154
847,1,67.4,3.58,144
848,1,56.9,3.98,145
849,1,90.5,3.42,154
850,1,79.2,3.63,148
851,1,64.5,3.05,146
852,0,49.7,2.59,152
853,0,53.8,3.39,148
854,1,88.5,3.77,152
855,0,73.4,3.74,157
856,0,69.9,3.88,156
857,0,77.5,3.28,155
858,1,74.9,2.9,151
859,0,69.9,3.65,152
860,1,66.7,2.73,135
861,0,66.5,3.82,146
862,1,86.8,3.85,161
863,1,51.6,2.55,137
864,0,61.3,3.97,154
865,0,62.4,3.39,152
866,0,56.7,3.16,149
867,0,69.7,3.72,165
868,1,58.3,2.9,135
869,0,58.1,3.28,158
870,0,65.1,3.57,152
871,1,81,3.53,156
872,1,66.8,3.28,144
873,0,54.5,2.33,151
874,1,83.6,3.36,155
875,1,67.5,2.91,149
876,1,64.5,3.52,144
877,1,81.7,3.08,158
878,0,54.3,3.44,149
879,0,74,3.13,146
880,0,61.4,3.3,156
881,1,78.4,3.31,154
882,0,73.7,3.86,154
883,1,67.3,3.38,153
884,1,62.5,2.89,142
885,0,71.9,2.78,154
886,0,66.7,2.91,144
887,1,68.2,3.11,138
888,1,67.5,3.01,162
889,1,59.2,3.05,144
890,0,69,3.45,157
891,0,54.6,3.14,140
892,1,65.7,3.84,150
893,0,60.5,3.6,158
894,1,61.6,2.89,156
895,0,74,3.22,155
896,1,85.2,3.77,157
897,1,96.6,3.92,156
898,0,66.2,3.49,154
899,1,65,2.64,152
900,0,61.1,3.13,142
901,1,65.5,3.39,149
902,1,83.5,3.75,152
903,0,72.6,3.53,142
904,1,86,3.53,161
905,0,69.3,3.69,163
906,0,59.8,3.36,150
907,0,68.5,3.29,143
908,1,89.2,3.55,161
909,1,60.8,3.09,144
910,0,58.9,3.36,146
911,0,43,3.24,148
912,0,60.2,3.06,144
913,0,77.4,3.97,153
914,1,71.5,2.86,142
915,1,81.1,3.27,156
916,0,68.6,3.66,153
917,0,78.4,3.45,152
918,1,82.4,3.63,147
919,1,45.4,2.84,144
920,1,65.1,3.28,152
921,0,61.7,2.65,138
922,0,70.6,3.08,152
923,0,63,3.63,155
924,1,70.2,3.54,144
925,1,61.2,3.03,151
926,1,66.9,3.22,145
927,1,73.6,2.99,146
928,1,64.2,3.53,155
929,1,79.1,3.88,149
930,0,71.6,3.65,149
931,1,78.7,3.19,142
932,0,60.1,3.78,152
933,1,86.5,3.69,154
934,1,84.8,3.92,151
935,0,63.9,3.28,144
936,0,67.5,2.91,154
937,1,71,3.46,143
938,1,87.7,3.65,158
939,0,60.8,3.47,160
940,1,68.4,3.71,144
941,0,72.2,3.46,158
942,0,68,3.38,149
943,1,82.6,3.44,150
944,1,81.2,3.49,149
945,0,86.3,3.56,159
946,1,61.9,3.22,146
947,0,70.9,3.54,143
948,1,72.2,3.15,144
949,1,67.2,2.95,151
950,0,61.9,3.9,167
951,1,91,3.83,158
952,0,43.6,3.22,160
953,0,64.2,3.4,156
954,1,77.3,3.36,156
955,0,72.8,3.02,159
956,1,84.3,3.49,148
957,1,78.7,3.43,141
958,0,58.3,3.53,150
959,1,85.4,3.72,144
960,0,65.2,3.95,147
961,0,67.5,3.66,156
962,1,86.2,4,148
963,1,50.1,2.03,141
964,0,73.1,3.32,156
965,0,76,3.78,158
966,0,46.6,2.94,141
967,1,76.3,3.02,147
968,0,51.8,3.64,147
969,0,52.4,3.28,153
970,0,57.2,2.63,152
971,0,82.3,3.95,156
972,1,55.4,3.08,157
973,0,72.1,3.69,151
974,0,80.8,3.71,163
975,0,79.6,3.6,155
976,0,74.2,3.83,151
977,1,57.5,3.3,141
978,0,42.9,2.67,147
979,0,61.3,3.57,143
980,1,66.9,2.8,151
981,1,68.2,3.47,152
982,0,69.3,3.55,147
983,0,63.6,3.33,155
984,0,53.9,3.02,145
985,1,59.8,3.88,148
986,0,58.1,3.31,145
987,0,59.1,3.01,141
988,0,66.3,3.69,150
989,0,66.6,3.49,161
990,0,67.7,3.9,159
991,0,67.8,3.15,158
992,0,52.1,3.57,153
993,1,52.9,2.71,140
994,0,76.2,3.97,158
995,1,50.4,3.33,148
996,1,59.4,3.19,147
997,0,74.7,2.95,155
998,1,67.5,3.34,154
999,0,76.1,3.84,163
1000,0,51.5,3.57,148
1001,0,67.3,3.46,145
1002,1,61,3.4,142
1003,0,62,3.98,154
1004,1,74.2,2.96,145
1005,1,83.8,3.63,150
1006,1,84.1,3.71,149
1007,1,72.9,2.92,158
1008,1,83.5,3.09,158
1009,0,51.2,3.14,156
1010,1,63.4,2.78,143
1011,1,72.9,3.52,150
1012,1,57.9,2.28,142
